Campaign_ID,Product_ID,Budget,Clicks,Conversions,Revenue_Generated,ROI,Customer_ID,Subscription_Tier,Subscription_Length,Flash_Sale_ID,Discount_Level,Units_Sold,Bundle_ID,Bundle_Price,Customer_Satisfaction_Post_Refund,Common_Keywords
CMP_RLSDVN,PROD_HBJFA3,41770.45,4946,73,15520.09,1.94,CUST_1K7G39,Premium,4,FLASH_1VFK5K,43,34,BNDL_29U6W5,433.8,4,Affordable
CMP_JHHUE9,PROD_OE8YNJ,29900.93,570,510,30866.17,0.76,CUST_0DWS6F,Premium,4,FLASH_1M6COK,28,97,BNDL_ULV60J,289.29,2,Innovative
CMP_AY0UTJ,PROD_F57N66,36277.19,818,79,81990.43,3.53,CUST_XASI45,Standard,29,FLASH_AOBHXL,20,52,BNDL_R03ITT,371.67,2,Affordable
CMP_5F4E9W,PROD_2CF719,41159.74,1259,763,65792.3,0.77,CUST_GH04I5,Basic,31,FLASH_9E2DOQ,17,88,BNDL_2AM8LH,194.93,2,Affordable
CMP_WDWHH6,PROD_QN8SL7,32787.71,3882,29,54205.71,4.84,CUST_TRQ4H8,Basic,9,FLASH_LS82UL,44,75,BNDL_XBACO2,232.09,1,Stylish
CMP_WWJQBU,PROD_12IBBU,13332.96,4657,349,95260.16,0.75,CUST_5RON6U,Premium,2,FLASH_ILCNCW,29,78,BNDL_ZIETKV,495.94,4,Affordable
CMP_QJG0E7,PROD_OUBE8M,43196.51,3528,323,63178.82,4.42,CUST_Z76S5K,Standard,8,FLASH_DT3S2P,35,142,BNDL_VTKX1I,417.97,3,Stylish
CMP_QDIN64,PROD_IMDJIH,41208.27,2385,326,62705.47,4.93,CUST_L86JDL,Premium,23,FLASH_DAX2UB,41,158,BNDL_BDVQUD,193.41,2,Innovative
CMP_HMY8JT,PROD_HB4HQ9,35505.09,868,309,22019.07,1.98,CUST_A015S4,Standard,23,FLASH_VS103U,31,185,BNDL_JW9VJE,209.6,4,Affordable
CMP_L4JQT7,PROD_IX0GZB,15891.2,1582,706,38536.95,4.17,CUST_6XK9SH,Basic,24,FLASH_1NCFSM,16,102,BNDL_3DH9UA,199.02,1,Stylish
CMP_E6LF3E,PROD_O4D7ED,13009.17,1332,580,50091.17,3.51,CUST_O2FW1J,Basic,27,FLASH_D6C2I2,20,80,BNDL_8DJT78,154.4,1,Affordable
CMP_R7NKS6,PROD_6J3P75,18632.1,497,91,68453.18,4.25,CUST_PGXPFG,Basic,1,FLASH_787SYL,31,102,BNDL_D4KR0X,227.11,3,Innovative
CMP_K56KCP,PROD_UI3FQD,38985.39,3848,411,99186.53,4.86,CUST_3IR8Q2,Standard,6,FLASH_SZXBKS,10,137,BNDL_8E9R1S,252.01,2,Affordable
CMP_BU8KJK,PROD_YAU41E,6806.29,4039,352,45830.03,4.2,CUST_O1XI91,Basic,32,FLASH_JIELL8,21,41,BNDL_57NW0Q,119.94,4,Durable
CMP_Y5QZFB,PROD_NYD8HM,29926.86,1946,349,24857.92,4.03,CUST_86CT16,Standard,2,FLASH_TNGRO6,18,155,BNDL_6KVIQE,343.23,3,Affordable
CMP_T5NVJR,PROD_JG6XUM,18360.77,3224,138,10462.13,1.19,CUST_V1H6F5,Standard,17,FLASH_X6Y9KO,49,12,BNDL_DQUD3P,472.55,2,Innovative
CMP_JGU6CL,PROD_EG6QA9,25309.05,2240,251,28767.29,1.96,CUST_Z7UV7J,Premium,12,FLASH_8H13G4,48,75,BNDL_QRMG3Z,73.51,2,Affordable
CMP_N2RDBI,PROD_OCZ0NI,16560.12,2203,62,88344.56,4.15,CUST_AHWFJ9,Basic,6,FLASH_ZCTDJP,53,113,BNDL_JXR0CU,290.98,3,Stylish
CMP_ZINYYP,PROD_YK2KUD,10936.71,2719,29,5333.62,2.91,CUST_D7WHCT,Premium,19,FLASH_6BWLXK,36,21,BNDL_6MI23J,495.73,4,Affordable
CMP_J3P16J,PROD_Y9Q4TT,27815.5,2547,441,11138.3,3.15,CUST_75UNOZ,Basic,33,FLASH_WYC527,33,124,BNDL_28SVFL,51.09,2,Affordable
